valid,tmpf,dwpf,relh,feel,drct,sknt,alti,mslp,vsby,gust,skyl1,skyl2,skyl3,skyc1,skyc2,skyc3,wxcodes
2018/1/1 0:00,,,,,50,3,30.08,,6,,,,,CLR,BKN,BKN,HZ
2018/1/1 0:05,,,,,70,3,30.08,,6,,,,,CLR,,,HZ
2018/1/1 0:10,,,,,60,3,30.08,,6,,,,,CLR,,,HZ
2018/1/1 0:15,,,,,60,3,30.08,,6,,,,,CLR,,,HZ
2018/1/1 0:20,,,,,0,0,30.08,,7,,,,,CLR,,,
2018/1/1 0:25,,,,,0,0,30.08,,8,,,,,,,,
2018/1/1 0:30,,,,,0,0,30.08,,8,,,,,,,,
2018/1/1 0:35,,,,,0,0,30.09,,8,,,,,,,,
2018/1/1 0:40,,,,,330,3,30.09,,8,,,,,,,,
2018/1/1 0:45,,,,,0,0,30.09,,8,,,,,,,,
2018/1/1 0:50,,,,,0,0,30.09,,8,,,,,,,,
2018/1/1 0:55,,,,,200,3,30.09,,8,,,,,,,,
2018/1/1 0:56,57,48,71.81,57,200,3,30.09,1018.7,8,,16000,20000,,BKN,BKN,,
2018/1/1 1:00,,,,,180,3,30.08,,9,,,,,CLR,,,
2018/1/1 1:05,,,,,190,3,30.09,,10,,,,,CLR,,,
2018/1/1 1:10,,,,,180,3,30.09,,10,,,,,CLR,,,
2018/1/1 1:15,,,,,340,3,30.09,,10,,,,,CLR,,,
2018/1/1 1:20,,,,,0,0,30.09,,9,,,,,CLR,,,
2018/1/1 1:25,,,,,0,0,30.1,,9,,,,,,,,
2018/1/1 1:30,,,,,0,0,30.1,,9,,,,,,,,
2018/1/1 1:35,,,,,0,0,30.1,,9,,,,,,,,
2018/1/1 1:40,,,,,0,0,30.1,,9,,,,,,,,
2018/1/1 1:45,,,,,0,0,30.1,,10,,,,,,,,
2018/1/1 1:50,,,,,0,0,30.11,,10,,,,,,,,
2018/1/1 1:55,,,,,210,4,30.1,,10,,,,,,,,
2018/1/1 1:56,55.9,48,74.72,55.9,200,4,30.1,1019.4,10,,16000,,,BKN,,,
2018/1/1 2:00,,,,,210,5,30.11,,10,,,,,CLR,,,
2018/1/1 2:05,,,,,200,5,30.11,,10,,,,,CLR,,,
2018/1/1 2:10,,,,,210,5,30.11,,10,,,,,CLR,,,
2018/1/1 2:15,,,,,200,5,30.11,,10,,,,,CLR,,,
2018/1/1 2:20,,,,,200,4,30.11,,10,,,,,CLR,,,
2018/1/1 2:25,,,,,200,5,30.12,,10,,,,,CLR,,,
2018/1/1 2:30,,,,,200,4,30.12,,10,,,,,,,,
2018/1/1 2:35,,,,,200,5,30.12,,10,,,,,,,,
2018/1/1 2:40,,,,,200,5,30.12,,10,,,,,,,,
2018/1/1 2:45,,,,,210,6,30.12,,10,,,,,,,,
2018/1/1 2:50,,,,,210,5,30.12,,10,,,,,,,,
2018/1/1 2:55,,,,,200,4,30.12,,10,,,,,,,,
2018/1/1 2:56,55,46.9,74.08,55,200,4,30.12,1019.9,10,,16000,,,BKN,,,
2018/1/1 3:00,,,,,200,4,30.12,,10,,,,,CLR,,,
2018/1/1 3:05,,,,,0,0,30.12,,10,,,,,CLR,,,
2018/1/1 3:10,,,,,210,3,30.12,,10,,,,,CLR,,,
2018/1/1 3:15,,,,,0,0,30.12,,10,,,,,CLR,,,
2018/1/1 3:20,,,,,0,0,30.12,,10,,,,,CLR,,,
2018/1/1 3:25,,,,,0,0,30.13,,10,,,,,CLR,,,
2018/1/1 3:30,,,,,0,0,30.13,,10,,,,,,,,
2018/1/1 3:35,,,,,0,0,30.13,,10,,,,,,,,
2018/1/1 3:40,,,,,0,0,30.13,,10,,,,,,,,
2018/1/1 3:45,,,,,0,0,30.13,,10,,,,,,,,
2018/1/1 3:50,,,,,0,0,30.13,,10,,,,,,,,
2018/1/1 3:55,,,,,0,0,30.13,,10,,,,,,,,
2018/1/1 3:56,54,46.9,76.83,54,0,0,30.13,1020.4,10,,16000,,,BKN,,,
2018/1/1 4:00,,,,,0,0,30.13,,10,,,,,CLR,,,
2018/1/1 4:05,,,,,0,0,30.13,,10,,,,,CLR,,,
2018/1/1 4:10,,,,,0,0,30.14,,10,,,,,CLR,,,
2018/1/1 4:15,,,,,0,0,30.14,,10,,,,,CLR,,,
2018/1/1 4:20,,,,,0,0,30.14,,10,,,,,CLR,,,
2018/1/1 4:25,,,,,0,0,30.14,,10,,,,,CLR,,,
2018/1/1 4:30,,,,,0,0,30.14,,10,,,,,CLR,,,
2018/1/1 4:35,,,,,0,0,30.14,,10,,,,,CLR,,,
2018/1/1 4:40,,,,,0,0,30.14,,10,,,,,CLR,,,
2018/1/1 4:45,,,,,150,3,30.14,,10,,,,,,,,
2018/1/1 4:50,,,,,140,3,30.14,,10,,,,,,,,
2018/1/1 4:55,,,,,150,3,30.14,,10,,,,,,,,
2018/1/1 4:56,54,46.9,76.83,54,140,3,30.15,1020.8,10,,16000,,,BKN,,,
2018/1/1 5:00,,,,,0,0,30.15,,10,,11000,,,SCT,,,
2018/1/1 5:05,,,,,0,0,30.15,,10,,12000,,,BKN,,,
2018/1/1 5:10,,,,,0,0,30.15,,10,,12000,,,BKN,,,
2018/1/1 5:15,,,,,0,0,30.15,,10,,12000,,,BKN,,,
2018/1/1 5:20,,,,,0,0,30.15,,10,,12000,,,BKN,,,
2018/1/1 5:25,,,,,0,0,30.15,,10,,12000,,,BKN,,,
2018/1/1 5:30,,,,,0,0,30.15,,10,,12000,,,SCT,,,
2018/1/1 5:35,,,,,0,0,30.15,,10,,12000,,,FEW,,,
2018/1/1 5:40,,,,,0,0,30.16,,10,,12000,,,FEW,,,
2018/1/1 5:45,,,,,0,0,30.16,,9,,,,,CLR,,,
2018/1/1 5:50,,,,,0,0,30.16,,10,,,,,CLR,,,
2018/1/1 5:55,,,,,0,0,30.16,,10,,,,,CLR,,,
2018/1/1 5:56,54,48,80.07,54,0,0,30.17,1021.4,10,,16000,,,BKN,,,
2018/1/1 6:00,,,,,0,0,30.17,,10,,,,,,,,
2018/1/1 6:05,,,,,360,3,30.17,,10,,,,,,,,
2018/1/1 6:10,,,,,0,0,30.17,,10,,,,,,,,
2018/1/1 6:15,,,,,0,0,30.17,,10,,,,,,,,
2018/1/1 6:20,,,,,20,3,30.17,,10,,,,,,,,
2018/1/1 6:25,,,,,340,3,30.18,,10,,,,,,,,
2018/1/1 6:30,,,,,20,3,30.17,,10,,,,,,,,
2018/1/1 6:35,,,,,20,4,30.18,,10,,,,,,,,
2018/1/1 6:40,,,,,10,4,30.17,,10,,,,,,,,
2018/1/1 6:45,,,,,10,3,30.18,,10,,,,,,,,
2018/1/1 6:50,,,,,0,0,30.18,,10,,,,,,,,
